,location,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,is_asia,is_europe,is_africa,is_north_america,is_south_america,is_oceania
23,Botswana,106388.73633333332,208.92083333333335,1077.767,0.2781666666666667,0.9523333333333334,0.37989999999999996,2.8000000000000003,44.61949515888192,40.42871680567769,13.89,4.044,25.8,3.9410000000000003,2.2420000000000004,15807.373999999998,1.087192187673802,237.37200000000004,4.81,5.7,34.4,1.8,69.59000000000002,0.735,0.0,0.0,1.0,0.0,0.0,0.0
24,Brazil,122216.22183333333,843.3818333333334,2946.9998333333333,3.8358333333333334,0.3403333333333334,0.3623628078910709,2.848265174320329,80.12833333333333,70.33666666666666,61.57,25.039999999999996,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.900000000000002,2.1999999999999997,75.88,0.765,0.0,0.0,0.0,0.0,1.0,0.0
26,Bulgaria,142411.52666666667,1050.533333333333,4873.642833333333,10.923333333333332,5.141166666666667,0.22790000000000002,4.4,48.77478156782878,29.105,44.44,65.18,44.699999999999996,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.099999999999998,44.4,7.454,75.05,0.816,0.0,1.0,0.0,0.0,0.0,0.0
27,Burkina Faso,961.3158333333334,0.42649999999999993,17.289333333333335,0.04666666666666667,0.012833333333333334,0.040549999999999996,26.75,7.0,4.0,14.506666666666668,70.15100000000001,17.599999999999998,2.4090000000000003,1.3580000000000003,1703.102,43.699999999999996,269.048,2.42,1.5999999999999999,23.900000000000002,0.39999999999999997,61.57999999999999,0.452,0.0,0.0,1.0,0.0,0.0,0.0
28,Burundi,3061.8945000000003,1.7678333333333331,3.1010000000000004,0.0,0.21683333333333335,0.015116666666666667,66.81666666666666,0.07,0.06,19.44,423.06199999999995,17.5,2.562,1.5039999999999998,702.225,71.7,293.068,6.05,3.5123514720052196,21.29088771792175,0.7999999999999999,61.57999999999999,0.433,0.0,0.0,1.0,0.0,0.0,0.0
29,Cambodia,7172.565666666666,4.110833333333334,177.91299999999998,0.0,0.20300000000000004,0.015316666666666666,67.03333333333333,84.7325,81.25833333333334,35.65,90.67200000000001,25.599999999999998,4.412,2.385,3645.07,18.80446302485742,270.892,4.0,2.0,33.699999999999996,0.7999999999999999,69.82,0.594,1.0,0.0,0.0,0.0,0.0,0.0
30,Cameroon,4287.279000000001,0.0,69.056,0.0,0.0931243966296121,0.03174802937465323,34.53892028770729,3.5,2.6,30.56,50.885,18.8,3.1649999999999996,1.9190000000000003,3364.926,23.8,244.66099999999997,7.2,0.7064370769761438,22.755604524157864,1.3,59.29,0.5629999999999998,0.0,0.0,1.0,0.0,0.0,0.0
31,Canada,81875.32716666667,287.14033333333333,920.2849999999999,2.723333333333333,2.0913333333333335,0.1705833333333333,5.866666666666667,85.02666666666666,79.56833333333333,77.31499999999998,4.037,41.4,16.984000000000005,10.796999999999999,44017.59099999999,0.5,105.59899999999998,7.37,12.0,16.599999999999998,2.5,82.43,0.9290000000000002,0.0,0.0,0.0,1.0,0.0,0.0
32,Cape Verde,99228.63050000001,26.694999999999997,705.0466666666666,0.2966666666666667,2.4736255116322017,0.38927799066678986,2.7262314135539762,61.18,50.88999999999999,47.22,135.58,25.7,4.46,3.437,6222.554,1.016195365732737,182.21900000000002,2.42,2.1,16.5,2.1,72.98,0.665,0.0,0.0,1.0,0.0,0.0,0.0
34,Central African Republic,2846.6879999999996,3.523,22.358,0.0,0.023000000000000003,0.16215000000000002,6.633333333333334,12.590000000000002,12.090000000000002,18.52,7.479,18.3,3.655,2.251,661.2399999999999,61.89277782268674,435.7269999999999,6.1000000000000005,3.480888941372813,21.334087484564026,1.0,53.279999999999994,0.397,0.0,0.0,1.0,0.0,0.0,0.0
35,Chad,423.09633333333335,0.01966666666666667,11.232999999999999,0.0,0.02033333333333333,0.034716666666666667,29.483333333333334,1.58,0.82,32.41,11.833,16.7,2.486,1.446,1768.153,38.4,280.99499999999995,6.1000000000000005,5.947425636057931,30.461601938286353,0.5146474527835033,54.24,0.39799999999999996,0.0,0.0,1.0,0.0,0.0,0.0
36,Chile,118616.51900000001,1785.7336666666663,2074.0378333333333,2.3075,6.306166666666667,0.25223333333333336,3.9666666666666663,91.86666666666666,88.49166666666667,31.016666666666666,24.281999999999996,35.4,11.087000000000002,6.938,22767.037,1.3,127.99299999999998,8.46,34.199999999999996,41.5,2.11,80.18,0.851,0.0,0.0,0.0,0.0,1.0,0.0
37,China,83.355,0.06433333333333334,3.2100000000000004,0.0,10.227000000000002,0.0,145251.1166666667,41.997787431436024,37.04789989975475,64.35000000000001,147.674,38.699999999999996,10.640999999999998,5.928999999999999,15308.712,0.7000000000000001,261.89899999999994,9.74,1.9000000000000001,48.4,4.34,76.90999999999998,0.761,1.0,0.0,0.0,0.0,0.0,0.0
38,Colombia,115787.8595,258.278,2636.3625,4.736666666666667,1.0626666666666666,0.3546666666666667,2.85,79.07916666666667,62.49083333333332,62.04,44.223000000000006,32.199999999999996,7.646,4.312,13254.948999999999,4.5,124.24,7.44,4.7,13.5,1.7100000000000002,77.29,0.767,0.0,0.0,0.0,0.0,1.0,0.0
39,Comoros,8868.756666666666,21.01033333333333,180.088,0.0,0.5016791144971329,0.019282509269880174,123.47696130971393,38.38999999999999,33.41,44.81667014518522,437.3519999999999,20.400000000000002,2.9630000000000005,1.7259999999999998,1413.89,18.099999999999998,261.516,11.88,4.3999999999999995,23.599999999999998,2.1999999999999997,64.32,0.5539999999999999,0.0,0.0,1.0,0.0,0.0,0.0
